IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
139.177.179.103,4,4,0.00,207.06,0.00,FRA
31.57.118.146,4,4,0.00,207.47,0.00,DFW
45.11.94.27,4,4,0.00,207.47,0.00,DFW
139.177.179.119,4,4,0.00,207.64,0.00,FRA
139.177.179.139,4,4,0.00,207.93,0.00,FRA
193.124.18.181,4,4,0.00,207.93,0.00,LAX
132.145.115.62,4,4,0.00,208.04,0.00,NRT
188.165.22.132,4,4,0.00,208.05,0.00,CDG
139.162.137.249,4,4,0.00,208.13,0.00,FRA
139.144.77.159,4,4,0.00,208.32,0.00,FRA
193.124.18.249,4,4,0.00,208.37,0.00,LAX
139.144.180.33,4,4,0.00,208.55,0.00,FRA
139.177.182.64,4,4,0.00,208.67,0.00,FRA
193.124.18.130,4,4,0.00,208.80,0.00,LAX
139.144.77.83,4,4,0.00,209.07,0.00,FRA
193.124.18.92,4,4,0.00,209.16,0.00,LAX
194.87.77.214,4,4,0.00,209.26,0.00,FRA
139.144.77.139,4,4,0.00,209.35,0.00,FRA
139.144.79.199,4,4,0.00,209.44,0.00,FRA
194.195.240.83,4,4,0.00,209.62,0.00,FRA
172.233.249.18,4,4,0.00,209.65,0.00,CDG
139.144.178.19,4,4,0.00,209.79,0.00,FRA
57.129.137.219,4,4,0.00,209.95,0.00,LHR
139.144.77.65,4,4,0.00,209.98,0.00,FRA
172.236.30.225,4,4,0.00,210.02,0.00,LHR
45.79.251.182,4,4,0.00,210.15,0.00,FRA
139.162.148.77,4,4,0.00,210.62,0.00,FRA
172.233.249.120,4,4,0.00,210.83,0.00,CDG
57.129.137.202,4,4,0.00,211.19,0.00,LHR
193.124.18.58,4,4,0.00,211.41,0.00,LAX
45.145.7.86,4,4,0.00,211.47,0.00,DFW
194.233.175.173,4,4,0.00,211.59,0.00,FRA
132.145.116.185,4,4,0.00,211.98,0.00,NRT
139.162.145.88,4,4,0.00,212.18,0.00,FRA
139.144.179.62,4,4,0.00,212.36,0.00,FRA
57.129.137.71,4,4,0.00,212.62,0.00,LHR
193.124.18.3,4,4,0.00,213.36,0.00,LAX
194.87.77.18,4,4,0.00,213.45,0.00,FRA
194.87.77.69,4,4,0.00,213.62,0.00,FRA
45.79.251.95,4,4,0.00,213.78,0.00,FRA
139.162.149.162,4,4,0.00,214.30,0.00,FRA
193.124.18.2,4,4,0.00,214.38,0.00,LAX
129.146.80.101,4,4,0.00,215.03,0.00,LAX
172.233.249.8,4,4,0.00,216.24,0.00,CDG
64.110.104.30,4,4,0.00,216.34,0.00,KIX
193.124.18.23,4,4,0.00,216.50,0.00,LAX
193.124.18.220,4,4,0.00,216.51,0.00,LAX
193.124.18.68,4,4,0.00,216.67,0.00,LAX
193.124.18.11,4,4,0.00,216.90,0.00,LAX
193.124.18.105,4,4,0.00,217.29,0.00,LAX
193.124.18.48,4,4,0.00,217.41,0.00,LAX
193.124.18.62,4,4,0.00,217.51,0.00,LAX
132.145.114.128,4,4,0.00,218.20,0.00,NRT
193.124.18.151,4,4,0.00,218.25,0.00,LAX
82.152.6.125,4,4,0.00,218.37,0.00,LHR
192.46.235.227,4,4,0.00,218.37,0.00,FRA
172.233.249.125,4,4,0.00,218.89,0.00,CDG
57.129.137.199,4,4,0.00,219.16,0.00,LHR
193.124.18.195,4,4,0.00,219.25,0.00,LAX
193.124.18.24,4,4,0.00,219.38,0.00,LAX
193.124.18.157,4,4,0.00,219.60,0.00,LAX
194.87.77.95,4,4,0.00,219.82,0.00,FRA
193.124.18.177,4,4,0.00,221.37,0.00,LAX
139.144.77.106,4,4,0.00,221.44,0.00,FRA
139.162.145.71,4,4,0.00,222.13,0.00,FRA
57.129.137.237,4,4,0.00,223.08,0.00,LHR
45.156.24.225,4,4,0.00,223.36,0.00,SJC
172.233.249.145,4,4,0.00,223.37,0.00,CDG
91.149.239.62,4,4,0.00,223.69,0.00,LAX
57.129.137.243,4,4,0.00,223.94,0.00,LHR
193.124.18.166,4,4,0.00,224.14,0.00,LAX
193.124.18.234,4,4,0.00,224.25,0.00,LAX
172.233.249.121,4,4,0.00,226.31,0.00,CDG
57.129.137.77,4,4,0.00,227.07,0.00,LHR
193.124.18.165,4,4,0.00,228.29,0.00,LAX
129.146.254.25,4,4,0.00,230.22,0.00,LAX
194.120.24.198,4,4,0.00,230.48,0.00,CDG
193.108.115.95,4,4,0.00,233.06,0.00,ARN
57.129.137.82,4,4,0.00,233.39,0.00,LHR
57.128.183.137,4,4,0.00,234.14,0.00,LHR
134.185.105.47,4,4,0.00,234.43,0.00,ICN
185.92.181.59,4,4,0.00,234.72,0.00,MCI
57.129.137.221,4,4,0.00,235.75,0.00,LHR
193.124.18.144,4,4,0.00,235.89,0.00,LAX
193.124.18.149,4,4,0.00,236.59,0.00,LAX
193.124.18.182,4,4,0.00,237.62,0.00,LAX
193.124.18.201,4,4,0.00,238.54,0.00,LAX
193.108.113.55,4,4,0.00,238.82,0.00,ARN
194.58.33.218,4,4,0.00,238.86,0.00,FRA
91.149.239.70,4,4,0.00,239.12,0.00,LAX
193.176.158.143,4,4,0.00,239.50,0.00,CDG
194.58.33.237,4,4,0.00,241.01,0.00,FRA
193.124.18.255,4,4,0.00,241.58,0.00,LAX
57.128.181.26,4,4,0.00,241.94,0.00,LHR
193.124.18.191,4,4,0.00,242.28,0.00,LAX
91.149.239.206,4,4,0.00,243.56,0.00,LAX
31.59.121.16,4,4,0.00,244.92,0.00,CDG
89.168.111.98,4,4,0.00,244.99,0.00,FRA
193.124.18.194,4,4,0.00,245.60,0.00,LAX
193.124.18.152,4,4,0.00,246.13,0.00,LAX
57.129.137.209,4,4,0.00,246.40,0.00,LHR
193.124.18.78,4,4,0.00,247.29,0.00,LAX
8.208.24.19,4,4,0.00,248.32,0.00,LHR
194.87.55.8,4,4,0.00,249.31,0.00,FRA
57.129.137.84,4,4,0.00,250.50,0.00,LHR
195.133.65.1,4,4,0.00,251.30,0.00,FRA
195.133.65.232,4,4,0.00,251.99,0.00,FRA
57.129.137.69,4,4,0.00,252.24,0.00,LHR
185.92.181.101,4,4,0.00,252.51,0.00,MCI
57.129.137.72,4,4,0.00,252.96,0.00,LHR
57.129.137.76,4,4,0.00,253.25,0.00,LHR
193.124.18.54,4,4,0.00,253.29,0.00,LAX
57.129.137.78,4,4,0.00,253.44,0.00,LHR
194.87.227.155,4,4,0.00,253.66,0.00,FRA
139.144.68.157,4,4,0.00,254.08,0.00,FRA
193.124.18.103,4,4,0.00,255.12,0.00,LAX
57.129.137.90,4,4,0.00,255.57,0.00,LHR
166.1.155.77,4,4,0.00,255.71,0.00,MAN
194.58.33.160,4,4,0.00,256.10,0.00,FRA
57.129.137.66,4,4,0.00,256.31,0.00,LHR
195.133.64.240,4,4,0.00,256.54,0.00,FRA
57.129.137.56,4,4,0.00,256.56,0.00,LHR
57.129.137.63,4,4,0.00,257.92,0.00,LHR
91.149.202.250,4,4,0.00,261.88,0.00,MAN
57.128.183.6,4,4,0.00,261.93,0.00,LHR
195.133.88.197,4,4,0.00,262.56,0.00,FRA
57.129.137.59,4,4,0.00,263.47,0.00,LHR
64.181.247.243,4,4,0.00,265.03,0.00,SJC
193.124.18.98,4,4,0.00,265.05,0.00,LAX
194.87.55.27,4,4,0.00,265.38,0.00,FRA
194.58.33.115,4,4,0.00,265.46,0.00,FRA
15.204.224.186,4,4,0.00,266.07,0.00,IAD
57.128.183.79,4,4,0.00,266.12,0.00,LHR
193.124.18.110,4,4,0.00,266.18,0.00,LAX
91.149.233.40,4,4,0.00,267.67,0.00,FRA
109.74.197.43,4,4,0.00,268.68,0.00,LHR
40.160.8.244,4,4,0.00,269.26,0.00,IAD
64.181.227.82,4,4,0.00,270.22,0.00,SJC
5.144.178.231,4,4,0.00,270.97,0.00,FRA
40.160.5.35,4,4,0.00,271.10,0.00,IAD
194.58.33.35,4,4,0.00,271.33,0.00,FRA
147.135.77.109,4,4,0.00,272.19,0.00,IAD
109.237.26.67,4,4,0.00,272.67,0.00,LHR
193.124.18.49,4,4,0.00,272.71,0.00,LAX
193.124.18.122,4,4,0.00,273.43,0.00,LAX
47.242.91.232,4,4,0.00,273.44,0.00,HKG
195.133.65.48,4,4,0.00,273.60,0.00,FRA
15.204.224.226,4,4,0.00,273.62,0.00,IAD
109.237.26.214,4,4,0.00,273.86,0.00,LHR
5.144.178.152,4,4,0.00,274.10,0.00,FRA
195.133.88.80,4,4,0.00,274.31,0.00,FRA
193.124.18.97,4,4,0.00,274.62,0.00,LAX
15.204.225.4,4,4,0.00,275.19,0.00,IAD
109.74.197.25,4,4,0.00,276.11,0.00,LHR
195.133.64.185,4,4,0.00,276.20,0.00,FRA
193.124.18.64,4,4,0.00,276.69,0.00,LAX
40.160.9.186,4,4,0.00,277.17,0.00,IAD
193.124.18.209,4,4,0.00,277.97,0.00,LAX
15.204.224.55,4,4,0.00,278.30,0.00,IAD
194.58.33.79,4,4,0.00,278.54,0.00,FRA
185.159.131.233,4,4,0.00,278.78,0.00,CDG
15.204.224.188,4,4,0.00,278.96,0.00,IAD
40.160.5.103,4,4,0.00,279.06,0.00,IAD
148.113.197.77,4,4,0.00,279.11,0.00,YUL
50.114.177.214,4,4,0.00,279.25,0.00,YYZ
194.58.33.42,4,4,0.00,279.81,0.00,FRA
193.124.18.126,4,4,0.00,279.99,0.00,LAX
148.113.200.130,4,4,0.00,280.00,0.00,YUL
217.60.36.88,4,4,0.00,280.02,0.00,CDG
15.204.225.220,4,4,0.00,280.20,0.00,IAD
130.61.187.66,4,4,0.00,280.26,0.00,FRA
195.133.67.238,4,4,0.00,280.36,0.00,FRA
95.182.96.115,4,4,0.00,280.43,0.00,CDG
91.149.232.39,4,4,0.00,280.52,0.00,FRA
193.124.18.162,4,4,0.00,280.85,0.00,LAX
